name,lat,lng,dist_text,dura_text,dist_value,dura_value
牡丹江市,44.55624570898632,129.63953977834691,2510.4公里,27.6小时,2510416.0,99249.0
那曲市,31.482438388454657,92.05733849817491,3168.9公里,41小时,3168878.0,147677.0
南昌市,28.68945529506072,115.86458944231659,342.7公里,4.3小时,342735.0,15337.0
南充市,30.84378250833704,106.11750261487228,931.9公里,11.5小时,931860.0,41573.0
南京市,32.064652885618464,118.80242172124584,536公里,7小时,536038.0,25153.0
南宁市,22.822606601187157,108.3734508258186,1191.9公里,13小时,1191905.0,46655.0
南平市,26.647772874203266,118.18436954814258,757公里,8.7小时,756976.0,31302.0
南通市,31.986549431200892,120.90159173866184,771公里,8.8小时,770953.0,31563.0
南阳市,32.99656220465144,112.53450131351325,396.4公里,4.6小时,396366.0,16721.0
内江市,29.58588653832045,105.06458802499719,1048.6公里,13.2小时,1048561.0,47418.0
宁波市,29.86603304586605,121.62857249434141,873.3公里,10.2小时,873253.0,36823.0
宁德市,26.67224171140857,119.55451074542827,920.5公里,10.3小时,920469.0,37253.0
怒江傈僳族自治州,25.82370741765775,98.8632883813579,2088.7公里,25.1小时,2088663.0,90412.0
攀枝花市,26.58803317333301,101.7255411709144,1753公里,20.3小时,1753037.0,73185.0
盘锦市,41.12587528873715,122.0774900902138,1651.5公里,18.2小时,1651484.0,65644.0
平顶山市,33.77205074869101,113.19952856052157,432.6公里,4.9小时,432555.0,17680.0
平凉市,35.54923205046352,106.67144234827795,1046.6公里,12.4小时,1046574.0,44728.0
萍乡市,27.6283927093972,113.8614964337543,411.4公里,5.1小时,411383.0,18535.0
莆田市,25.459865455922714,119.01452097812651,906.5公里,10.2小时,906457.0,36878.0
濮阳市,35.76759302890629,115.03559747034215,648.7公里,7小时,648673.0,25356.0
普洱市,22.830979186010275,100.97256981472799,1956.1公里,23.4小时,1956088.0,84210.0
七台河市,45.77630032154785,131.01154459102744,2715.4公里,29.6小时,2715384.0,106503.0
齐齐哈尔市,47.3599771860153,123.92457086841536,2504公里,27.5小时,2504037.0,99152.0
